game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_OBP,away_SLG,away_HR,away_R/G,away_BB_batting,away_SO_batting,away_IBB,temp,condition,wind,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters,home_last7_win_pct,home_streak,away_last7_win_pct,away_streak,Partly Cloudy,Clear,Sunny,Cloudy,Roof Closed,Overcast,Dome,Drizzle,Unknown,Rain,away_strea
778772,Boston Red Sox,Tampa Bay Rays,Hunter Dobbins,Ian Seymour,8,2,4.13,28.0,30.0,45.0,17.0,2.65,1.279,3.63,23.0,33.0,64.0,19.0,3.37,1.175,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,71.0,2,7.0,0.6844444444444444,0.7426111111111111,18,18,0.4,-3.0,0.2,-2.0,False,False,True,False,False,False,False,False,False,False,-2.0
779116,Detroit Tigers,Minnesota Twins,Tarik Skubal,Andrew Morris,4,0,2.21,48.0,55.0,241.0,33.0,7.3,0.891,,,,,,,,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,77.0,2,5.0,0.5197894736842105,0.7025555555555556,19,18,0.5,-2.0,0.5,1.0,False,False,True,False,False,False,False,False,False,False,1.0
778707,Atlanta Braves,Pittsburgh Pirates,AJ Smith-Shawver,Mike Burrows,4,9,3.86,19.0,20.0,42.0,21.0,2.0,1.421,3.94,42.0,43.0,97.0,31.0,3.13,1.24,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,74.0,2,0.0,0.6721111111111111,0.6309444444444445,18,18,0.4,2.0,0.5,-2.0,False,False,True,False,False,False,False,False,False,False,-2.0
779053,New York Yankees,St. Louis Cardinals,Will Warren,Michael McGreevy,0,7,4.44,80.0,90.0,171.0,65.0,2.63,1.374,4.42,47.0,50.0,58.0,20.0,2.9,1.254,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,74.0,0,2.0,0.6030526315789474,0.5443125,19,16,0.2,-4.0,0.25,-1.0,True,False,False,False,False,False,False,False,False,False,-1.0
778960,Toronto Blue Jays,Philadelphia Phillies,José Berríos,Joe Ross,9,6,4.17,77.0,86.0,138.0,56.0,2.46,1.301,5.12,29.0,30.0,39.0,18.0,2.17,1.471,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,72.0,2,5.0,0.8313684210526315,0.8185,19,18,0.75,1.0,0.25,1.0,False,False,True,False,False,False,False,False,False,False,1.0
779083,Miami Marlins,New York Mets,Max Meyer,Paul Blackburn,1,4,4.73,34.0,39.0,68.0,20.0,3.4,1.423,6.23,27.0,29.0,34.0,12.0,2.83,1.513,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,73.0,5,5.0,0.7304444444444445,0.668,18,17,0.25,-3.0,0.2,-4.0,False,False,False,False,False,True,False,False,False,False,-4.0
778939,Kansas City Royals,Colorado Rockies,Michael Wacha,Ryan Feltner,7,6,3.86,74.0,74.0,126.0,45.0,2.8,1.222,4.75,16.0,17.0,25.0,12.0,2.08,1.484,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,87.0,2,8.0,0.9941666666666666,0.7868888888888889,18,18,0.8,1.0,0.6666666666666666,1.0,False,False,True,False,False,False,False,False,False,False,1.0
778991,San Francisco Giants,Chicago Cubs,Jordan Hicks,Shota Imanaga,4,4,6.95,52.0,56.0,58.0,32.0,1.81,1.663,3.73,60.0,62.0,117.0,26.0,4.5,0.988,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,84.0,2,7.0,0.7433888888888889,1.0618888888888889,18,18,0.4,-3.0,1.0,6.0,False,False,True,False,False,False,False,False,False,False,6.0
778835,Cleveland Guardians,Texas Rangers,Gavin Williams,Nathan Eovaldi,7,4,3.06,57.0,62.0,173.0,83.0,2.08,1.27,1.73,25.0,28.0,129.0,21.0,6.14,0.854,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,84.0,2,5.0,0.8023888888888888,0.6705263157894737,18,19,0.25,-2.0,0.2,-1.0,False,False,True,False,False,False,False,False,False,False,-1.0
778863,Chicago White Sox,San Diego Padres,Sean Burke,Ryan Bergert,3,1,4.29,64.0,76.0,133.0,63.0,2.11,1.452,3.66,31.0,32.0,73.0,35.0,2.09,1.258,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,82.0,2,3.0,0.5235,0.7917777777777778,18,18,0.0,-4.0,0.4,-3.0,False,False,True,False,False,False,False,False,False,False,-3.0
