,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_K%,home_AVG,away_ERA,away_ER,away_R,away_SO,away_K%,away_AVG,home_OBP,home_SLG,home_HR,home_R/G,home_BB,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB,away_home_SO_batting,away_home_IBB
4449,Arizona Diamondbacks,New York Mets,Ryne Nelson,David Peterson,3,2,5.31,85.0,87.0,96.0,15.5,0.284,2.9,39.0,44.0,101.0,19.8,0.243,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0
4450,Arizona Diamondbacks,New York Mets,Ryne Nelson,David Peterson,3,2,4.24,71.0,73.0,126.0,20.0,0.266,2.9,39.0,44.0,101.0,19.8,0.243,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0
4451,Cincinnati Reds,Oakland Athletics,Julian Aguiar,J.T. Ginn,9,10,,,,,,,,,,,,,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.301,0.393,196.0,3.97,493.0,1502.0,11.0
4452,Philadelphia Phillies,Atlanta Braves,Cristopher Sánchez,Charlie Morton,4,5,3.32,67.0,76.0,153.0,20.3,0.258,4.19,77.0,85.0,167.0,23.8,0.251,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0
4453,Philadelphia Phillies,Atlanta Braves,Cristopher Sánchez,Charlie Morton,4,5,3.32,67.0,76.0,153.0,20.3,0.258,3.64,66.0,70.0,183.0,25.6,0.244,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0
4454,Boston Red Sox,Toronto Blue Jays,Kutter Crawford,Bowden Francis,2,0,4.04,58.0,59.0,135.0,25.6,0.221,,,,,,,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.313,0.389,156.0,4.14,510.0,1233.0,18.0
4455,Boston Red Sox,Toronto Blue Jays,Kutter Crawford,Bowden Francis,2,0,4.36,89.0,97.0,175.0,23.1,0.223,,,,,,,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.313,0.389,156.0,4.14,510.0,1233.0,18.0
4456,Houston Astros,Kansas City Royals,Hunter Brown,Brady Singer,3,6,5.09,88.0,94.0,178.0,26.8,0.262,5.52,98.0,102.0,133.0,18.9,0.287,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0
4457,Houston Astros,Kansas City Royals,Hunter Brown,Brady Singer,3,6,5.09,88.0,94.0,178.0,26.8,0.262,3.71,74.0,77.0,170.0,22.3,0.253,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0
4458,Houston Astros,Kansas City Royals,Hunter Brown,Brady Singer,3,6,3.49,66.0,71.0,179.0,25.1,0.242,5.52,98.0,102.0,133.0,18.9,0.287,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0
4459,Houston Astros,Kansas City Royals,Hunter Brown,Brady Singer,3,6,3.49,66.0,71.0,179.0,25.1,0.242,3.71,74.0,77.0,170.0,22.3,0.253,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0
4460,Los Angeles Dodgers,Baltimore Orioles,Bobby Miller,Cade Povich,3,6,3.76,52.0,53.0,119.0,23.6,0.226,,,,,,,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0
4461,Cincinnati Reds,Milwaukee Brewers,Nick Martinez,Colin Rea,5,4,3.1,49.0,56.0,116.0,20.4,0.237,4.55,63.0,65.0,110.0,21.3,0.235,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0
4462,Cincinnati Reds,Milwaukee Brewers,Nick Martinez,Colin Rea,5,4,3.1,49.0,56.0,116.0,20.4,0.237,4.29,80.0,83.0,135.0,18.9,0.258,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0
4463,Cincinnati Reds,Milwaukee Brewers,Rhett Lowder,DL Hall,14,0,,,,,,,,,,,,,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0
4464,Detroit Tigers,Boston Red Sox,Casey Mize,Tanner Houck,7,5,,,,,,,3.12,62.0,75.0,154.0,20.7,0.231,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0
4465,Philadelphia Phillies,Atlanta Braves,Ranger Suárez,Reynaldo López,7,2,3.46,58.0,63.0,145.0,23.2,0.243,1.99,30.0,32.0,148.0,27.3,0.22,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0
4466,Philadelphia Phillies,Atlanta Braves,Ranger Suárez,Reynaldo López,7,2,4.18,58.0,59.0,119.0,22.0,0.267,1.99,30.0,32.0,148.0,27.3,0.22,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0
4467,Washington Nationals,Chicago Cubs,Jake Irvin,Shota Imanaga,7,6,4.61,62.0,66.0,99.0,18.7,0.255,2.91,56.0,66.0,174.0,25.1,0.225,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0
4468,Washington Nationals,Chicago Cubs,Jake Irvin,Shota Imanaga,7,6,4.41,92.0,97.0,156.0,20.3,0.244,2.91,56.0,66.0,174.0,25.1,0.225,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0
