,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind,condition_Clear,condition_Cloudy,condition_Dome,condition_Drizzle,condition_Overcast,condition_Partly Cloudy,condition_Rain,condition_Roof Closed,condition_Snow,condition_Sunny,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
32,779143,Athletics,Colorado Rockies,Jeffrey Springs,Jake Woodford,0,4,4.11,78.0,90.0,138.0,54.0,2.56,1.211,6.44,26.0,28.0,23.0,13.0,1.77,1.596,,,,,,,,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,74,Sunny,"1 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.49994736842105264,0.4805294117647059,19,17
33,778864,Los Angeles Dodgers,San Diego Padres,Dustin May,Braden Nett,3,8,4.96,73.0,78.0,123.0,56.0,2.2,1.421,,,,,,,,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,77,Partly Cloudy,"2 mph, Calm",False,False,False,False,False,True,False,False,False,False,0.7360555555555556,0.6348421052631579,18,19
34,778993,San Francisco Giants,Cincinnati Reds,Logan Webb,Nick Martinez,2,5,3.22,74.0,82.0,224.0,46.0,4.87,1.237,4.45,82.0,86.0,116.0,42.0,2.76,1.207,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,77,Sunny,"2 mph, Out To LF",False,False,False,False,False,False,False,False,False,True,1.009277777777778,0.5675789473684211,18,19
35,778755,Chicago Cubs,Texas Rangers,Colin Rea,Cody Bradford,5,6,3.95,70.0,73.0,127.0,44.0,2.89,1.249,,,,,,,,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,77,Sunny,"2 mph, Out To CF",False,False,False,False,False,False,False,False,False,True,0.8077222222222222,0.4641,18,20
36,778941,Kansas City Royals,Chicago White Sox,Kris Bubic,Tyler Gilbert,3,4,2.55,33.0,38.0,116.0,39.0,2.97,1.178,3.88,22.0,24.0,49.0,24.0,2.04,1.255,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,77,Sunny,"5 mph, Out To LF",False,False,False,False,False,False,False,False,False,True,0.8823888888888889,0.6342777777777777,18,18
37,779020,Seattle Mariners,Arizona Diamondbacks,Emerson Hancock,Tommy Henry,5,11,4.9,49.0,51.0,64.0,31.0,2.06,1.378,4.05,3.0,3.0,8.0,1.0,8.0,1.05,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,78,Sunny,"4 mph, R To L",False,False,False,False,False,False,False,False,False,True,0.8754736842105263,0.7582777777777778,19,18
38,778807,Colorado Rockies,Milwaukee Brewers,Kyle Freeland,Aaron Ashby,1,6,4.98,90.0,105.0,124.0,38.0,3.26,1.42,2.16,16.0,16.0,76.0,24.0,3.17,1.17,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,76,Sunny,"1 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.8127000000000001,0.7047058823529412,20,17
39,779082,St. Louis Cardinals,New York Mets,Steven Matz,Blade Tidwell,4,7,3.05,26.0,31.0,59.0,11.0,5.36,1.096,9.0,15.0,15.0,10.0,10.0,1.0,2.2,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,70,Overcast,"12 mph, R To L",False,False,False,False,True,False,False,False,False,False,0.7965555555555556,0.7573333333333333,18,18
40,778837,Cincinnati Reds,Los Angeles Dodgers,Brady Singer,Tyler Glasnow,1,8,4.03,76.0,80.0,163.0,60.0,2.72,1.238,3.19,32.0,33.0,106.0,43.0,2.47,1.096,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,79,Partly Cloudy,"4 mph, In From CF",False,False,False,False,False,True,False,False,False,False,0.8134444444444444,0.8225,18,18
41,778943,Kansas City Royals,Athletics,Cole Ragans,Osvaldo Bido,1,1,4.67,32.0,33.0,98.0,20.0,4.9,1.184,5.87,52.0,56.0,68.0,35.0,1.94,1.607,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,,,,,,,,76,Partly Cloudy,"1 mph, Calm",False,False,False,False,False,True,False,False,False,False,0.8097222222222222,0.43745,18,20
